Country,Year,Total Water Consumption (Billion Cubic Meters),Per Capita Water Use (Liters per Day),Water Scarcity Level,Agricultural Water Use (%),Industrial Water Use (%),Household Water Use (%),Rainfall Impact (Annual Precipitation in mm),Groundwater Depletion Rate (%)
Japan,2001,516.9,395.61,Medium,31.94,49.44,38.91,343.64,2.02
France,2022,553.35,55.69,Medium,33.41,35.66,11.66,331.59,2.83
Brazil,2019,542.94,147.76,High,34.83,18.72,11.19,2511.36,4.89
Australia,2007,569.42,79.31,High,58.38,19.81,25.5,1925.91,3.25
Spain,2021,949.22,401.1,High,24.56,24.56,18.74,909.47,2.55
Saudi Arabia,2011,903.22,390.14,High,54.35,32.98,27.46,2295.81,0.58
Japan,2003,876.96,416.14,Medium,69.16,45.41,31.73,493.63,4.12
Brazil,2004,803.4,52.02,Low,65.99,13.92,12.07,1971.21,3.25
Australia,2012,943.99,275.55,Medium,29.07,8.8,36.47,2969.51,0.63
Italy,2014,107.51,367.18,High,74.88,23.26,18.31,535.06,1.3
Mexico,2024,272.47,119.93,Medium,66.21,16.05,21.44,511.64,2.73
Saudi Arabia,2022,500.11,342.41,Medium,20.32,30.92,20.11,1456.72,0.32
Turkey,2015,848.07,87.85,Medium,64.24,36.46,35.2,1963.72,3.62
Italy,2009,510.11,131.6,Low,64.25,18.98,15.12,176.98,1.22
Turkey,2024,750.55,264.11,Medium,49.81,35.85,10.86,1549.05,2.5
Russia,2022,147.57,344.1,Medium,22.76,20.44,39.15,341.19,1.28
Spain,2015,259.89,115.64,Low,54.79,33.57,39.42,799.84,2.5
Russia,2011,734.46,133.35,Medium,65.94,33.49,17.73,2165.95,1.03
Canada,2016,173.09,142.0,Medium,36.25,17.52,10.28,2242.71,3.01
USA,2015,357.84,157.42,Medium,60.02,33.61,29.38,2216.22,4.56
UK,2011,272.22,151.95,Medium,41.24,22.14,29.45,288.92,4.06
UK,2007,356.36,227.82,Medium,54.43,20.14,38.21,2381.61,1.28
Italy,2019,711.24,344.21,High,43.07,18.02,18.95,1353.4,2.54
Italy,2002,374.17,247.11,Medium,38.23,20.55,15.69,1478.4,2.17
Australia,2015,559.71,399.19,Low,71.35,40.4,28.49,1317.1,4.83
UK,2012,108.93,373.67,Medium,65.23,16.03,26.91,2585.36,4.01
Argentina,2022,806.97,106.94,High,40.73,35.69,31.53,2071.91,0.63
South Korea,2018,376.19,71.98,Low,46.08,45.53,36.55,1550.07,0.93
Turkey,2007,652.05,445.07,Low,61.5,20.77,26.79,2519.43,3.54
UK,2021,728.14,85.92,Medium,68.66,6.33,14.5,2435.55,0.88
South Korea,2004,217.56,116.75,High,61.06,6.11,27.94,114.63,4.76
Australia,2019,885.83,59.96,Medium,52.46,11.28,21.22,1488.75,4.97
Japan,2007,620.06,332.75,High,77.26,9.95,23.58,222.51,3.91
UK,2023,434.44,312.07,High,66.45,38.66,38.78,990.84,0.23
Russia,2011,190.51,494.11,Medium,26.94,18.27,26.65,2431.13,2.47
USA,2000,942.88,449.12,High,53.49,34.36,14.49,2837.75,2.09
Turkey,2024,757.52,234.88,Medium,44.57,6.91,23.29,801.99,4.02
Spain,2020,215.94,217.21,High,67.7,18.31,16.85,162.13,1.51
Italy,2019,344.33,183.58,Low,22.68,15.54,14.06,1266.78,1.99
Saudi Arabia,2005,811.58,118.58,Medium,44.64,17.46,31.37,1071.84,0.56
Australia,2021,698.72,112.14,High,39.1,13.58,28.86,2063.2,1.78
Australia,2017,768.13,109.53,Low,28.47,32.81,24.93,1535.67,4.87
Mexico,2007,446.79,101.35,Low,42.73,34.82,22.7,1256.66,4.72
Spain,2006,719.31,158.23,Low,60.37,11.68,19.67,765.71,3.78
Australia,2000,392.63,188.0,Low,41.7,38.35,12.64,2502.59,4.55
Australia,2020,219.15,482.71,Medium,54.8,16.25,18.98,820.33,1.13
France,2015,636.35,310.31,High,55.57,17.73,35.15,258.73,3.15
China,2011,976.25,494.42,Low,55.23,42.3,33.51,1737.37,2.55
Spain,2005,317.49,217.61,High,51.77,45.55,39.17,1020.31,2.17
Japan,2019,466.36,255.93,High,27.02,42.11,29.68,2166.06,1.69
Russia,2001,677.26,196.06,High,33.11,11.65,26.61,334.53,4.34
Japan,2013,546.09,132.3,Medium,68.0,49.97,18.88,2902.29,2.47
USA,2003,844.99,114.42,Medium,50.14,35.25,12.31,641.89,3.65
China,2000,764.13,475.29,Low,62.36,27.98,28.54,1135.47,3.56
Turkey,2022,67.71,494.06,High,54.19,47.97,24.64,1494.77,0.77
Indonesia,2017,998.44,70.21,Medium,22.32,41.78,32.77,2681.34,0.34
USA,2012,754.88,117.66,Medium,67.77,36.13,22.36,2195.37,4.22
Germany,2001,865.26,240.59,Medium,23.86,42.73,39.57,520.0,2.5
China,2008,654.69,133.85,Low,76.59,22.35,21.93,1371.98,4.07
Spain,2020,857.72,213.75,Medium,32.92,35.8,19.99,1674.44,1.56
India,2001,121.26,108.09,High,50.74,13.58,36.13,2136.16,4.32
South Korea,2024,354.26,255.43,Medium,23.82,49.46,21.87,1758.26,4.17
Turkey,2008,877.66,172.26,Medium,73.7,31.5,36.13,1426.27,1.97
Turkey,2000,209.64,208.36,Low,78.8,41.64,10.82,2320.09,2.12
Mexico,2010,87.46,92.44,High,28.78,23.33,30.78,1196.37,1.82
Japan,2002,790.24,242.66,Medium,37.75,39.14,12.16,2962.8,0.27
Italy,2019,837.13,492.47,High,20.95,22.43,14.45,2848.57,3.47
Australia,2022,171.03,197.97,High,67.22,31.55,31.0,2151.4,1.44
Spain,2003,855.8,444.39,Medium,38.69,40.02,18.69,2659.57,4.43
Argentina,2017,689.9,429.44,Low,55.33,10.24,16.31,1240.21,4.5
France,2022,524.88,478.43,High,22.35,21.06,34.05,1786.26,3.64
China,2005,831.95,405.55,Medium,62.93,29.52,38.39,890.7,0.99
Brazil,2002,425.06,346.82,High,51.76,20.03,16.97,2668.35,0.54
USA,2021,202.05,435.46,High,63.5,18.91,19.52,1465.97,4.1
Indonesia,2010,292.0,84.04,High,67.37,17.67,31.42,1654.82,4.48
South Africa,2014,510.11,258.27,Medium,25.35,15.25,34.46,2607.25,1.82
Japan,2021,536.02,495.17,High,54.69,43.2,39.97,2412.11,1.83
Brazil,2004,807.53,396.32,High,59.0,46.57,18.2,1033.06,2.01
Australia,2019,793.44,482.93,Low,51.0,36.51,26.7,353.54,4.16
South Korea,2009,585.55,400.84,Medium,30.94,6.35,14.02,570.07,3.56
Turkey,2011,782.98,443.7,Medium,67.74,40.38,19.93,1083.38,0.7
Germany,2014,199.86,367.94,High,79.85,28.94,11.35,985.34,3.21
South Korea,2016,59.56,392.23,Low,78.16,39.11,16.33,211.1,0.15
Saudi Arabia,2009,874.9,285.43,High,66.65,24.68,25.2,1352.99,3.58
USA,2005,84.8,465.91,High,45.09,6.86,14.91,406.97,3.85
Italy,2017,254.22,421.27,Medium,40.24,35.68,36.68,740.58,4.09
China,2012,698.37,429.75,Low,24.11,24.99,31.31,2383.7,3.17
Japan,2002,415.35,352.85,High,44.98,44.33,10.83,1535.15,0.98
Turkey,2023,877.55,187.06,Medium,29.36,38.22,36.3,1181.56,3.99
Saudi Arabia,2009,305.0,66.03,High,35.26,21.18,39.32,637.76,4.51
Germany,2013,21.75,471.04,High,73.51,37.58,25.06,2612.21,3.21
South Africa,2005,307.65,313.75,Low,78.11,27.28,19.44,2720.7,1.45
South Korea,2002,582.29,184.16,Low,76.91,13.97,17.9,1604.17,0.98
India,2015,382.18,117.11,Low,31.6,23.89,12.62,2771.7,1.23
Japan,2006,539.52,423.29,High,74.05,15.02,24.75,1447.89,0.18
Italy,2019,877.83,426.43,Low,28.49,5.22,11.5,411.0,0.15
China,2013,913.36,416.53,Medium,50.46,16.11,25.12,149.41,1.56
France,2008,273.31,340.29,High,58.62,14.43,17.58,472.3,4.62
Italy,2014,467.52,214.71,Low,47.75,5.2,24.29,1905.7,3.14
Turkey,2020,553.65,186.83,High,77.11,40.28,22.55,1030.63,1.99
South Africa,2002,949.62,53.85,High,39.99,8.46,19.15,1980.1,0.15
Germany,2001,998.63,425.12,Medium,51.64,25.21,23.46,1573.13,4.95
Italy,2001,243.05,89.34,Medium,24.53,23.8,24.22,1065.74,2.33
China,2002,729.71,333.84,Medium,71.13,13.16,35.01,734.17,4.96
Germany,2017,384.25,276.83,High,44.8,48.51,29.97,335.03,3.63
Russia,2013,18.03,287.01,High,62.03,32.17,22.99,2368.93,0.35
Italy,2019,19.16,467.02,Medium,60.93,41.61,37.16,2475.11,4.31
Saudi Arabia,2017,465.96,64.23,High,60.58,27.33,32.67,1670.21,2.7
Japan,2009,493.45,398.03,Medium,50.42,37.53,12.27,555.57,2.32
Canada,2024,32.34,73.42,Medium,36.65,48.64,14.61,864.23,3.81
Indonesia,2001,690.06,67.17,Low,57.51,20.68,12.45,2869.92,3.9
Germany,2024,301.06,243.42,Medium,77.71,27.69,19.57,755.23,4.0
South Africa,2021,564.29,78.38,Low,70.04,28.15,23.07,264.73,3.83
Germany,2000,307.91,405.11,Medium,26.53,49.64,25.13,1695.14,3.24
France,2003,175.46,288.3,High,21.39,15.49,35.54,859.55,3.41
Australia,2013,413.1,63.07,Low,49.94,35.39,10.54,2876.56,4.31
Spain,2000,239.95,68.23,High,66.55,11.22,22.85,1766.83,3.48
South Africa,2013,539.45,325.7,High,38.83,46.72,22.33,2900.86,0.6
Canada,2015,206.84,412.75,Medium,62.07,31.57,38.42,2378.17,3.26
Mexico,2021,513.32,247.01,Medium,75.92,43.67,17.23,2196.95,0.93
Turkey,2013,165.8,299.56,High,47.54,45.29,13.67,2508.06,0.17
Indonesia,2019,674.26,409.92,Medium,34.65,30.07,14.27,1854.17,1.15
Australia,2002,756.4,324.73,Medium,75.07,35.69,25.6,132.25,0.86
Russia,2002,119.29,151.14,Medium,48.34,36.44,21.73,1238.15,0.6
Japan,2008,473.12,325.87,High,44.47,25.72,32.62,735.15,1.15
India,2005,80.16,332.73,Low,41.2,24.57,19.7,1359.51,2.86
Indonesia,2024,602.2,380.35,Low,45.38,13.38,13.84,1464.59,0.84
Saudi Arabia,2012,271.76,329.39,High,60.42,22.28,21.61,470.71,1.47
Brazil,2020,532.35,486.16,Medium,46.02,49.58,36.49,167.95,4.26
UK,2001,522.29,138.78,Medium,39.45,17.14,22.17,500.78,4.45
USA,2007,925.11,477.99,Low,64.62,39.31,35.01,2586.54,1.73
Brazil,2020,553.59,292.25,High,32.18,7.67,21.15,2291.98,4.5
France,2001,587.17,352.38,High,32.12,26.04,18.44,2416.79,2.97
Italy,2003,407.64,94.76,Medium,61.79,7.63,33.25,901.29,1.21
Germany,2024,949.59,221.26,Medium,72.0,26.41,16.28,784.69,3.8
Saudi Arabia,2014,779.41,396.22,Medium,34.47,6.24,16.95,208.38,4.62
South Africa,2003,292.55,368.11,High,31.47,32.6,11.49,1469.58,3.33
South Africa,2012,845.77,68.06,Low,60.22,31.39,15.64,1208.99,1.09
Argentina,2011,438.07,295.97,High,57.25,40.9,21.36,2524.07,0.52
Russia,2012,830.38,89.73,High,46.84,31.25,21.99,2077.42,1.22
Japan,2013,824.66,498.14,High,25.75,46.67,22.62,518.43,1.76
South Africa,2019,196.98,453.78,Low,25.51,40.24,24.39,2962.75,1.74
Saudi Arabia,2017,704.13,59.49,Medium,66.64,10.97,27.16,2334.86,2.54
Brazil,2005,297.74,436.39,Medium,47.11,16.95,15.68,2188.69,2.58
Japan,2010,304.52,463.74,High,71.48,6.18,28.42,728.19,2.41
Saudi Arabia,2001,303.38,209.1,High,54.48,22.38,20.1,2724.95,1.78
Australia,2022,728.31,373.78,Low,57.12,27.93,32.02,1474.37,0.62
Italy,2018,237.53,248.95,Low,76.05,47.57,26.72,963.2,2.15
Italy,2018,10.9,344.85,Medium,29.88,28.5,26.63,1999.02,4.93
Germany,2004,718.08,203.14,High,52.58,40.15,30.56,714.08,3.3
Saudi Arabia,2018,179.47,195.15,Low,23.49,17.06,19.99,2731.94,2.25
USA,2001,113.44,241.0,Low,41.54,11.89,22.88,2577.6,0.51
Canada,2009,245.14,115.51,High,28.89,41.49,27.49,1448.24,1.14
Italy,2024,386.1,424.01,High,31.27,16.13,22.65,652.91,2.92
Germany,2001,481.15,206.91,High,76.09,44.21,23.33,1539.86,2.54
Spain,2010,54.12,230.07,High,56.64,12.64,18.17,532.5,0.19
India,2017,970.87,452.32,High,73.53,43.32,18.62,882.56,0.52
Germany,2023,718.9,273.48,High,46.61,39.78,30.97,1499.92,1.84
China,2014,329.96,294.91,Low,55.86,32.5,10.13,161.31,0.79
Mexico,2008,325.51,480.42,High,21.93,43.26,12.86,2320.6,4.79
China,2022,454.06,449.03,Medium,48.17,19.88,38.46,671.05,0.27
South Africa,2018,629.98,126.26,High,53.84,12.47,15.61,2613.17,4.87
Russia,2008,154.91,262.95,Medium,21.01,12.07,22.54,164.55,3.32
Australia,2002,197.04,487.08,Medium,67.37,17.17,35.49,1643.18,2.1
South Africa,2020,860.84,217.56,Medium,37.73,25.08,10.0,2352.29,2.74
Saudi Arabia,2008,263.69,217.21,High,47.15,44.42,37.76,790.05,2.11
Mexico,2013,386.39,137.76,High,52.14,9.03,11.6,2151.9,2.91
France,2018,872.56,101.45,Medium,79.53,46.19,15.13,2190.52,0.84
Australia,2006,666.52,383.14,High,25.95,46.65,10.87,1949.75,0.69
UK,2015,348.29,396.51,Low,53.32,37.73,25.59,1156.33,2.69
Brazil,2015,686.86,486.06,Low,51.84,45.51,38.29,2376.69,0.45
USA,2000,29.49,398.04,Low,24.13,39.65,35.17,1922.46,1.53
Russia,2003,738.29,159.51,Low,58.04,28.77,29.19,1812.13,4.64
Canada,2003,492.15,68.05,High,37.21,32.03,15.56,2475.57,4.39
Japan,2006,815.05,493.45,Medium,26.23,33.27,36.09,809.45,4.17
Germany,2007,955.09,203.2,High,30.72,10.71,32.64,774.22,2.59
South Korea,2016,926.53,190.39,Low,69.42,13.69,18.01,1220.7,0.24
Australia,2004,910.17,457.68,High,26.25,28.55,34.15,312.09,0.69
France,2006,517.05,313.29,High,48.02,10.19,36.31,1078.44,4.61
Indonesia,2019,366.54,146.69,Low,31.72,48.42,30.95,1278.19,4.2
UK,2019,470.38,450.09,Medium,29.74,27.82,13.01,1535.67,1.94
Indonesia,2003,693.0,497.01,High,32.34,22.1,39.53,836.64,3.67
Germany,2005,885.16,89.01,High,49.57,12.09,12.28,2729.84,4.29
South Korea,2006,214.92,438.01,Low,34.27,23.74,29.63,926.73,3.14
South Korea,2017,919.01,225.73,Medium,25.8,18.61,13.32,2569.5,4.28
Australia,2004,817.03,285.83,Low,68.08,8.96,37.16,1390.36,1.3
Italy,2019,979.07,461.67,Low,52.39,48.52,20.5,2182.65,2.36
Brazil,2002,881.45,488.02,High,29.41,16.92,25.35,421.62,2.94
Turkey,2006,287.14,167.97,Medium,48.29,36.07,15.36,1679.45,3.19
Saudi Arabia,2021,114.9,145.78,Low,24.1,9.11,26.4,2886.4,4.94
Japan,2013,121.12,86.23,High,54.83,46.09,38.17,2032.13,4.25
Brazil,2006,298.31,302.81,Low,40.42,31.58,37.05,2478.84,0.37
Italy,2004,618.04,56.12,High,26.21,34.56,11.92,857.1,0.93
China,2021,806.28,235.35,Medium,31.02,40.18,21.35,2420.49,3.32
Brazil,2004,900.26,83.02,Low,40.74,32.27,18.02,1118.63,1.28
Germany,2022,627.52,232.35,Medium,68.38,8.19,24.44,1506.73,0.88
India,2001,15.57,67.97,Medium,30.43,24.33,35.01,645.08,3.37
Canada,2020,194.45,425.85,High,26.58,16.79,32.17,1508.53,2.73
Turkey,2021,108.73,144.38,Low,50.96,26.9,20.32,1595.54,4.05
France,2005,369.69,197.74,Low,53.52,23.19,21.48,1904.75,1.66
India,2014,506.34,441.52,High,25.41,42.19,29.63,2619.04,1.72
China,2020,52.96,385.82,High,37.07,16.12,15.83,984.07,0.84
Canada,2009,354.99,148.57,Medium,35.77,14.06,13.08,2954.0,3.3
Mexico,2022,187.39,82.35,Low,31.17,48.11,17.28,2558.3,3.57
Brazil,2023,650.6,372.05,Low,38.94,47.73,13.72,1268.48,0.78
Canada,2006,469.63,225.82,High,22.23,49.71,20.56,757.32,1.35
South Africa,2004,500.36,394.74,High,59.09,30.58,38.13,307.33,0.86
Turkey,2000,433.41,250.38,High,79.31,10.09,13.61,779.66,3.76
Indonesia,2012,956.46,205.7,Low,58.04,44.61,34.55,2665.12,1.12
Australia,2020,222.59,253.04,Low,41.66,11.53,26.04,946.89,0.85
Saudi Arabia,2017,521.5,386.85,Medium,60.07,12.0,28.99,500.14,0.44
Italy,2012,738.66,456.0,High,54.29,13.7,15.1,165.76,4.17
Spain,2020,561.28,72.4,Medium,70.81,34.4,14.54,963.27,0.71
Germany,2020,929.73,285.85,Low,57.31,9.82,14.88,726.84,0.25
China,2017,384.19,64.78,Medium,58.04,40.02,30.01,396.39,0.42
Australia,2004,469.04,260.78,Medium,33.3,7.62,32.43,2858.15,1.9
USA,2012,97.64,448.38,Medium,44.94,9.97,37.61,876.1,3.02
Russia,2003,612.91,212.72,High,40.66,24.55,21.95,117.91,2.05
Argentina,2016,295.33,469.6,Low,20.69,22.06,23.86,2838.4,2.33
Saudi Arabia,2002,168.71,333.77,High,38.8,49.54,24.09,1777.69,4.6
India,2016,549.09,470.37,Medium,49.16,48.51,18.1,340.16,3.82
Mexico,2010,536.99,390.72,High,55.99,13.54,19.85,191.12,1.77
Australia,2020,85.11,96.55,Low,76.07,47.6,35.4,412.76,0.86
Russia,2019,701.23,154.02,Low,34.35,36.15,20.31,1815.32,3.77
Argentina,2022,627.53,227.38,Medium,29.15,23.4,36.07,279.43,2.91
UK,2020,197.13,126.55,Medium,72.17,38.28,19.16,1747.61,4.82
Brazil,2003,474.74,272.71,High,76.51,45.51,20.2,1992.37,4.55
Argentina,2001,723.12,262.12,Low,49.28,13.11,26.81,527.97,2.86
Canada,2019,534.14,480.32,Low,26.91,13.82,13.09,1516.45,0.44
Brazil,2015,401.53,245.18,High,49.12,23.39,37.66,2895.25,0.25
Russia,2017,329.12,403.53,Low,26.57,12.61,34.61,2525.82,4.2
China,2007,614.29,473.86,Medium,72.99,21.22,30.12,2197.76,3.52
Argentina,2002,939.72,444.64,Medium,62.49,34.06,39.64,1601.43,2.84
Japan,2008,675.03,143.9,High,34.47,41.58,10.48,1243.4,3.48
Indonesia,2019,84.0,273.21,High,73.2,18.59,22.33,1409.16,2.74
Indonesia,2005,466.08,206.48,High,58.27,17.68,35.75,2317.37,2.93
Japan,2009,891.92,229.94,Medium,77.2,40.09,22.99,1707.46,1.21
Saudi Arabia,2020,103.52,212.36,High,78.83,22.15,10.16,2317.5,2.33
South Korea,2009,988.99,421.86,Low,20.2,41.83,14.73,2912.63,0.15
France,2012,949.58,253.46,High,27.21,49.7,23.02,1957.49,3.38
China,2016,87.49,285.66,Low,52.82,49.09,30.04,1849.0,1.73
Argentina,2008,934.08,492.1,Medium,77.35,34.82,14.88,1277.87,3.32
Saudi Arabia,2016,369.5,76.99,Low,79.65,21.88,23.44,670.59,4.64
Indonesia,2023,846.26,269.58,Low,54.04,7.95,10.38,1185.18,3.0
South Africa,2008,424.2,398.33,Low,30.43,38.21,24.33,1608.28,1.71
Indonesia,2008,446.45,118.02,Medium,29.78,49.01,36.88,201.08,1.12
Brazil,2000,637.9,325.19,Low,65.83,8.06,27.9,1479.83,1.33
Saudi Arabia,2001,776.73,157.76,Low,55.52,5.28,23.22,2600.23,4.94
Italy,2015,43.45,440.33,High,52.93,42.43,14.87,2932.21,3.12
Brazil,2000,597.22,197.19,High,47.95,9.6,16.07,2581.09,2.26
India,2009,194.87,198.08,High,63.51,8.67,12.3,598.75,1.23
Argentina,2017,352.49,319.19,Low,71.48,45.97,32.27,549.54,3.89
Turkey,2007,354.49,132.6,Low,38.18,8.58,12.31,1240.61,2.0
Turkey,2020,474.37,178.2,Medium,33.26,10.13,21.52,753.75,1.58
Argentina,2010,340.8,237.48,Low,60.21,30.63,32.5,2060.38,1.19
Italy,2022,116.29,209.14,Low,74.88,39.06,31.38,345.22,1.01
Brazil,2001,154.17,286.19,Medium,40.89,22.98,27.33,1386.79,1.44
Italy,2007,43.1,319.84,Low,36.35,23.93,27.14,913.03,3.17
Spain,2021,475.55,305.0,Medium,33.57,33.47,12.71,1826.67,1.28
Indonesia,2007,954.9,344.38,Medium,35.27,27.74,15.25,2411.49,0.4
Saudi Arabia,2016,124.52,188.49,High,28.1,5.84,26.04,2778.33,1.86
Germany,2014,946.8,106.89,Low,55.81,10.11,20.44,2895.17,2.97
Indonesia,2016,736.03,392.36,High,36.85,31.17,10.57,1118.46,0.4
Argentina,2022,641.12,432.85,Low,56.9,40.71,33.95,2581.96,2.32
Turkey,2023,648.82,165.65,High,24.98,39.34,29.61,1816.69,0.36
Germany,2012,828.46,233.19,Medium,26.93,38.3,19.77,2107.54,3.86
South Africa,2018,115.85,274.36,Medium,52.17,39.71,12.95,2568.28,4.37
South Korea,2004,509.71,290.0,Medium,50.69,7.0,27.74,477.33,4.82
South Africa,2011,700.12,346.77,Medium,36.29,45.28,20.46,2847.48,3.49
Turkey,2000,590.95,68.72,Low,69.63,45.02,17.66,1687.45,3.2
Mexico,2022,834.45,374.66,Low,31.22,28.94,31.64,1074.41,3.5
Brazil,2004,81.55,77.89,High,41.64,16.19,19.84,1082.32,4.29
Brazil,2007,693.79,260.73,Low,53.33,31.65,14.08,2277.9,4.05
Spain,2012,538.69,422.45,Low,72.03,30.1,24.45,2068.11,2.25
Spain,2007,385.37,253.05,High,45.11,15.03,34.85,2215.49,3.29
South Korea,2024,346.87,117.09,Medium,43.92,32.14,35.49,833.69,0.89
South Africa,2022,624.62,493.27,High,54.77,40.88,35.48,593.57,3.51
Italy,2010,892.09,450.18,High,39.0,41.27,22.63,2193.39,3.68
Russia,2000,501.21,397.09,Medium,62.55,7.69,33.73,965.59,4.03
Italy,2012,826.48,235.18,High,34.92,13.87,35.51,745.06,4.11
Brazil,2018,408.13,132.73,High,69.39,35.07,23.79,722.36,2.26
China,2023,111.37,473.64,High,36.34,43.69,19.56,530.36,4.53
China,2002,70.89,289.56,Low,79.56,28.45,31.06,1337.77,4.91
Germany,2023,60.82,433.56,Medium,38.99,36.84,37.13,856.75,4.89
Australia,2016,386.35,203.94,Medium,72.73,5.95,39.16,2692.21,2.97
Australia,2004,343.87,200.88,High,43.84,32.38,18.71,2098.5,2.84
Canada,2019,720.76,493.49,Low,34.76,48.29,38.69,2257.2,2.34
South Africa,2020,745.39,284.82,Medium,33.57,34.75,24.98,1270.47,1.57
Russia,2007,60.35,113.31,Medium,71.01,46.5,19.18,1840.61,1.74
Germany,2013,228.91,148.85,High,38.53,30.47,39.65,1552.31,1.16
Australia,2003,281.52,266.87,High,40.31,42.95,36.33,585.61,4.78
Australia,2010,552.14,69.11,High,31.82,10.59,30.77,238.78,3.14
UK,2019,153.07,258.14,Medium,77.68,10.56,36.85,2082.2,4.68
South Korea,2014,142.6,238.52,High,34.68,10.41,30.44,451.4,2.0
Japan,2018,944.35,400.7,High,34.85,27.0,23.21,266.31,1.56
USA,2006,806.16,209.72,High,76.63,19.86,38.44,1381.42,0.75
Argentina,2018,188.85,492.15,Low,74.05,37.36,38.9,2240.28,1.57
Russia,2018,412.5,131.35,High,34.93,45.62,19.43,2329.72,4.46
Mexico,2010,362.07,315.94,Medium,71.88,32.87,20.63,2633.06,2.95
Argentina,2004,793.09,90.36,High,34.99,14.59,21.48,677.72,2.32
Canada,2004,515.11,380.24,Medium,25.07,46.89,34.66,2958.31,2.88
Argentina,2021,136.57,497.64,Low,69.22,28.75,33.73,2313.31,4.47
Germany,2007,741.6,418.61,Low,66.29,37.4,39.49,555.92,1.04
Spain,2009,402.92,300.07,High,37.68,45.07,23.96,2538.09,4.83
Japan,2005,270.3,268.13,Medium,25.41,49.54,32.1,1546.98,3.36
UK,2014,381.74,425.76,High,32.39,27.77,35.7,292.98,4.29
France,2015,502.78,471.19,High,66.26,41.36,16.64,482.92,2.67
South Korea,2016,349.68,495.14,Medium,77.88,30.51,28.62,1358.29,1.26
Brazil,2007,249.49,228.44,Medium,35.54,26.89,26.43,1638.47,2.88
Turkey,2007,404.52,495.91,Medium,69.1,29.2,32.28,2847.73,0.43
USA,2024,28.98,120.17,Medium,33.68,26.79,30.86,725.57,4.28
South Africa,2008,774.77,164.1,Medium,60.78,23.95,34.38,1474.9,3.28
Mexico,2001,179.24,90.06,Low,25.02,37.57,19.33,755.08,1.49
USA,2014,53.47,172.28,Low,55.12,16.24,16.49,1719.36,1.44
France,2017,657.16,395.57,Low,36.15,32.74,34.16,2737.02,4.52
Argentina,2002,776.2,433.82,Medium,75.55,37.08,20.82,1746.48,4.22
Brazil,2016,815.69,400.5,Medium,37.39,45.14,18.63,1579.2,3.84
Italy,2003,498.57,333.98,Medium,43.91,19.93,20.1,2275.38,2.13
Australia,2003,213.31,281.28,High,70.44,43.73,11.99,528.08,4.38
UK,2013,739.86,368.92,Low,46.3,47.54,33.19,2726.28,1.31
USA,2008,702.72,225.88,Low,34.3,34.19,31.45,1775.14,0.22
Russia,2008,253.81,428.59,High,52.85,39.71,26.58,2090.3,2.22
Saudi Arabia,2024,904.37,354.74,High,70.4,23.26,31.48,2474.99,4.61
Mexico,2022,113.33,364.01,Low,45.99,47.85,21.19,1941.61,2.9
Spain,2017,982.86,291.17,Medium,27.97,35.19,18.86,1959.5,1.22
Spain,2009,861.65,448.35,Low,42.99,18.96,35.87,2215.9,3.29
UK,2020,691.02,163.41,Medium,77.27,23.19,22.67,251.49,3.75
Germany,2003,939.36,221.52,Low,24.32,32.8,15.88,1208.41,2.8
Turkey,2011,725.09,399.94,Low,44.51,15.54,32.47,2892.52,4.23
Indonesia,2007,198.55,271.74,High,58.88,38.93,20.08,848.01,3.0
UK,2001,447.73,450.15,High,24.71,15.11,16.36,1672.54,0.57
South Korea,2021,80.79,205.88,Medium,40.7,31.63,10.82,608.74,4.07
USA,2012,395.76,216.2,Medium,76.43,36.37,39.12,1037.5,0.82
USA,2020,744.19,449.93,Low,21.84,43.69,24.02,2179.53,4.43
South Africa,2015,392.58,258.97,High,65.1,38.03,14.85,1964.97,2.66
India,2001,336.99,282.26,Medium,70.48,40.95,32.73,1301.52,3.69
Australia,2010,599.4,199.74,Medium,36.62,46.08,36.63,2820.42,4.86
India,2009,873.48,174.5,Medium,32.88,31.9,25.84,2347.64,2.22
Canada,2014,57.11,345.18,Low,74.89,43.08,10.85,876.98,2.35
Japan,2016,391.62,103.93,Medium,65.84,15.43,20.95,1449.79,4.15
India,2007,166.66,445.67,Medium,26.8,41.66,17.29,2646.3,0.64
South Africa,2017,698.4,400.64,High,32.73,14.98,29.09,165.15,0.24
UK,2022,114.67,135.84,High,57.28,47.06,25.57,1786.25,3.06
South Africa,2008,668.16,362.31,High,45.17,19.85,20.67,772.69,0.92
Spain,2024,293.32,321.18,Low,50.25,12.73,29.46,285.08,1.35
Spain,2007,206.93,133.04,High,77.09,11.67,27.53,2747.3,4.88
Italy,2013,936.99,172.94,High,45.21,13.43,37.19,2467.22,3.3
South Africa,2024,28.34,234.04,High,72.9,25.14,27.9,637.35,4.29
China,2017,443.4,364.66,High,59.64,28.5,25.23,2527.14,4.5
Saudi Arabia,2021,31.41,337.43,Medium,27.3,46.12,34.71,524.64,0.69
UK,2019,488.76,289.51,Low,64.67,22.15,16.07,1480.87,4.65
South Korea,2019,506.04,395.78,Medium,51.21,14.79,17.31,2204.74,4.35
South Africa,2020,328.45,391.07,Medium,33.51,38.47,33.51,1648.04,0.32
Argentina,2011,140.84,328.04,Low,37.37,11.06,23.27,2567.26,4.89
Canada,2018,382.62,404.15,Medium,53.44,45.15,22.28,1888.95,2.35
